"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 25 12:57:27 UTC 2025","Thu Dec 25 12:57:27 UTC 2025","6","invoices.tests","test_models","TestInvoiceSave","","","test_save_sets_original_amount_only_on_first_save","Test: original_amount wird nur beim ERSTEN save() gesetzt"
"passed","Thu Dec 25 12:58:09 UTC 2025","Thu Dec 25 12:58:17 UTC 2025","7893","customers.tests","test_models","TestCustomerModel","","","test_customer_ordering_by_created_at_desc","Test: Customers sind nach created_at absteigend sortiert"
"passed","Thu Dec 25 12:59:57 UTC 2025","Thu Dec 25 12:59:57 UTC 2025","1","bewegungsradius.tests","test_pdf_service","TestConsumeFileStorage","","","test_save_creates_directory","Test: Verzeichnis wird erstellt wenn nicht existent"
"passed","Thu Dec 25 12:59:58 UTC 2025","Thu Dec 25 12:59:58 UTC 2025","1","bewegungsradius.tests","test_pdf_service","TestPdfGenerator","","","test_generate_calls_renderer_and_converter","Test: generate() ruft Renderer und Converter auf"
"passed","Thu Dec 25 12:55:56 UTC 2025","Thu Dec 25 12:55:56 UTC 2025","13","courses.tests","test_models","TestCourseSignalsAndCelery","","","test_course_delete_calls_celery_task_manager","Test: Course.delete() ruft CeleryTaskManager auf"
"passed","Thu Dec 25 12:59:55 UTC 2025","Thu Dec 25 12:59:55 UTC 2025","2","offers.tests","test_models","TestZPPCertificationModel","","","test_zpp_certification_valid_from_defaults_today","Test: valid_from hat Default heute"
"passed","Thu Dec 25 12:59:57 UTC 2025","Thu Dec 25 12:59:57 UTC 2025","1","bewegungsradius.tests","test_email_base","TestBaseEmailService","","","test_send_bulk_emails_empty_list","send_bulk_emails mit leerer Liste"
"passed","Thu Dec 25 12:59:57 UTC 2025","Thu Dec 25 12:59:57 UTC 2025","1","bewegungsradius.tests","test_pdf_service","TestHtmlToPdfConverter","","","test_convert_returns_pdf_bytes","Test: convert() gibt PDF-Bytes zurück"
"passed","Thu Dec 25 12:58:23 UTC 2025","Thu Dec 25 12:58:23 UTC 2025","2","customers.tests","test_models","TestCustomerDiscountCodeModel","","","test_discount_code_status_planned_default","Test: Status ist default 'planned'"
"passed","Thu Dec 25 12:59:13 UTC 2025","Thu Dec 25 12:59:13 UTC 2025","1","customers.tests","test_services","TestDiscountCodeValidator","","","test_validate_used_code","Test: validate() mit bereits verwendetem Code"
"passed","Thu Dec 25 12:59:57 UTC 2025","Thu Dec 25 12:59:57 UTC 2025","1","bewegungsradius.tests","test_email_base","TestBaseEmailService","","","test_send_email_calls_send","_send_email ruft send() auf"
"passed","Thu Dec 25 12:57:20 UTC 2025","Thu Dec 25 12:57:20 UTC 2025","5","invoices.tests","test_models","TestInvoiceSave","","","test_save_initializes_defaults","Test: save() initialisiert alle Defaults"
"passed","Thu Dec 25 12:58:14 UTC 2025","Thu Dec 25 12:58:14 UTC 2025","4","customers.tests","test_models","TestCustomerModel","","","test_customer_related_name_contact_channel","Test: Zugriff auf customers über ContactChannel"
"passed","Thu Dec 25 12:59:57 UTC 2025","Thu Dec 25 12:59:57 UTC 2025","0","bewegungsradius.tests","test_admin_styles","TestStatusIndicator","","","test_active_inactive_icon_only_active","Test: active_inactive_icon_only() aktiv"
"passed","Thu Dec 25 12:55:46 UTC 2025","Thu Dec 25 12:55:46 UTC 2025","1","courses.tests","test_models","TestCourseProperties","","","test_course_title_property","Test: title Property gibt Offer-Titel zurück"
"passed","Thu Dec 25 12:57:10 UTC 2025","Thu Dec 25 12:57:18 UTC 2025","8335","invoices.tests","test_models","TestInvoiceModel","","","test_invoice_ordering","Test: Invoices nach issue_date absteigend sortiert"
"passed","Thu Dec 25 12:59:40 UTC 2025","Thu Dec 25 12:59:40 UTC 2025","1","customers.tests","test_services","TestDiscountCodeCalculator","","","test_calculate_discount_100_percentage","Test: calculate_discount_amount() mit 100% Rabatt"
"passed","Thu Dec 25 12:58:25 UTC 2025","Thu Dec 25 12:58:25 UTC 2025","2","customers.tests","test_models","TestCustomerDiscountCodeModel","","","test_discount_code_created_by_optional","Test: created_by ist optional"
"passed","Thu Dec 25 12:56:44 UTC 2025","Thu Dec 25 12:56:44 UTC 2025","0","invoices.tests","test_models","TestTaxCalculator","","","test_calculate_tax_amount_tax_exempt","Test: Keine Steuer wenn tax_exempt"
"passed","Thu Dec 25 12:59:36 UTC 2025","Thu Dec 25 12:59:36 UTC 2025","2","customers.tests","test_services","TestDiscountCodeFormatter","","","test_format_discount_display_percentage","Test: format_discount_display() mit Prozentsatz"
"passed","Thu Dec 25 12:55:50 UTC 2025","Thu Dec 25 12:55:50 UTC 2025","10","courses.tests","test_models","TestCourseMethods","","","test_course_mark_completion_email_sent","Test: mark_completion_email_sent() setzt Flag und Zeitstempel"
"passed","Thu Dec 25 12:55:46 UTC 2025","Thu Dec 25 12:55:46 UTC 2025","0","courses.tests","test_models","TestCourseProperties","","","test_course_course_type_property","Test: course_type Property gibt Offer-Typ zurück"
"passed","Thu Dec 25 12:56:56 UTC 2025","Thu Dec 25 12:56:56 UTC 2025","4","invoices.tests","test_models","TestInvoiceInitializer","","","test_initialize_sets_course_duration","Test: Setzt course_duration vom offer"
"passed","Thu Dec 25 12:56:46 UTC 2025","Thu Dec 25 12:56:46 UTC 2025","0","invoices.tests","test_models","TestCourseIdGenerator","","","test_generate_uses_course_type","Test: Benutzt ersten 2 Buchstaben vom course_type"
"passed","Thu Dec 25 12:59:57 UTC 2025","Thu Dec 25 12:59:57 UTC 2025","1","bewegungsradius.tests","test_admin_styles","TestStatusIndicator","","","test_email_status_not_sent","Test: email_status() nicht versendet"
"passed","Thu Dec 25 12:57:49 UTC 2025","Thu Dec 25 12:57:54 UTC 2025","5484","customers.tests","test_models","TestCustomerModel","","","test_customer_get_full_address","Test: get_full_address() kombiniert Adressfelder"
"passed","Thu Dec 25 12:59:57 UTC 2025","Thu Dec 25 12:59:57 UTC 2025","0","bewegungsradius.tests","test_pdf_service","TestConsumeFileStorage","","","test_get_directory","Test: Consume-Verzeichnis wird richtig bestimmt"
"passed","Thu Dec 25 12:59:02 UTC 2025","Thu Dec 25 12:59:13 UTC 2025","11316","customers.tests","test_models","TestComplexScenarios","","","test_bulk_customer_creation_with_channels","Test: Mehrere Kunden mit Kanälen erstellen"
"passed","Thu Dec 25 12:59:57 UTC 2025","Thu Dec 25 12:59:57 UTC 2025","1","bewegungsradius.tests","test_email_base","TestEmailPayload","","","test_payload_uses_default_from_email","Wenn from_email nicht gesetzt, nutze DEFAULT_FROM_EMAIL"
"passed","Thu Dec 25 12:59:55 UTC 2025","Thu Dec 25 12:59:55 UTC 2025","3","offers.tests","test_models","TestOfferTaxCalculation","","","test_tax_amount_with_tax","Test: tax_amount berechnet Steuern"
"passed","Thu Dec 25 12:59:57 UTC 2025","Thu Dec 25 12:59:57 UTC 2025","1","bewegungsradius.tests","test_admin_styles","TestStatusIndicator","","","test_payment_status_simple_paid","Test: payment_status_simple() bezahlt"
"passed","Thu Dec 25 12:55:59 UTC 2025","Thu Dec 25 12:55:59 UTC 2025","2","courses.tests","test_services","TestLocationGeocoder","","","test_geocode_with_empty_address","Test: Geocoding mit leerer Adresse"
"passed","Thu Dec 25 12:59:55 UTC 2025","Thu Dec 25 12:59:55 UTC 2025","3","offers.tests","test_models","TestOfferModel","","","test_offer_course_units_optional","Test: course_units ist optional"
"passed","Thu Dec 25 12:56:54 UTC 2025","Thu Dec 25 12:56:54 UTC 2025","0","invoices.tests","test_models","TestDiscountApplier","","","test_apply_idempotent","Test: Apply ist idempotent (mehrfach aufrufen hat gleiche Wirkung)"
"passed","Thu Dec 25 12:59:55 UTC 2025","Thu Dec 25 12:59:55 UTC 2025","3","company.tests","test_model","TestCompanyInfoSingleton","","","test_company_info_creation","Test: CompanyInfo wird erstellt"
"passed","Thu Dec 25 12:59:57 UTC 2025","Thu Dec 25 12:59:57 UTC 2025","0","bewegungsradius.tests","test_admin_styles","TestStatusIndicator","","","test_email_status_simple_sent","Test: email_status_simple() versendet"
"passed","Thu Dec 25 12:59:07 UTC 2025","Thu Dec 25 12:59:08 UTC 2025","1002","customers.tests","test_services","TestAddressGeocoder","","","test_geocode_with_valid_address","Test: geocode() mit gültiger Adresse - FIXED: Mock instance method directly"
"passed","Thu Dec 25 12:59:58 UTC 2025","Thu Dec 25 12:59:58 UTC 2025","1","bewegungsradius.tests","test_pdf_service","TestConsumeFileStorage","","","test_exists_false","Test: exists() gibt False zurück wenn Datei nicht existiert"
"passed","Thu Dec 25 12:59:55 UTC 2025","Thu Dec 25 12:59:55 UTC 2025","2","offers.tests","test_models","TestOfferModel","","","test_offer_creation","Test: Offer wird erstellt"
"passed","Thu Dec 25 12:56:48 UTC 2025","Thu Dec 25 12:56:48 UTC 2025","1","invoices.tests","test_models","TestDiscountApplier","","","test_apply_percentage_discount","Test: Wendet Prozentrabatt an"
"passed","Thu Dec 25 12:59:57 UTC 2025","Thu Dec 25 12:59:57 UTC 2025","1","bewegungsradius.tests","test_admin_styles","TestStatusIndicator","","","test_payment_status_cancelled","Test: payment_status() storniert"
"passed","Thu Dec 25 12:57:50 UTC 2025","Thu Dec 25 12:57:57 UTC 2025","6725","customers.tests","test_models","TestCustomerModel","","","test_customer_email_unique","Test: Email muss unique sein"
"passed","Thu Dec 25 12:57:06 UTC 2025","Thu Dec 25 12:57:06 UTC 2025","3","invoices.tests","test_models","TestInvoiceInitializer","","","test_initialize_course_id_for_ticket_10","Test: course_id wird für 10er-Karten generiert"
"passed","Thu Dec 25 13:00:00 UTC 2025","Thu Dec 25 13:00:00 UTC 2025","1","accounting.tests","test_models","TestAccountingEntryModel","","","test_entry_with_invoice_reference","Test: Entry mit Invoice Referenz"
"passed","Thu Dec 25 12:59:57 UTC 2025","Thu Dec 25 12:59:57 UTC 2025","2","bewegungsradius.tests","test_pdf_service","TestTemplateRenderer","","","test_render_logs_error","Test: Error wird geloggt"
"passed","Thu Dec 25 12:55:50 UTC 2025","Thu Dec 25 12:55:54 UTC 2025","4103","courses.tests","test_models","TestCourseParticipants","","","test_course_add_inperson_participant","Test: Präsenz-Teilnehmer hinzufügen"
"passed","Thu Dec 25 12:59:18 UTC 2025","Thu Dec 25 12:59:18 UTC 2025","1","customers.tests","test_services","TestDiscountCodeValidator","","","test_validate_expired_code","Test: validate() mit abgelaufenem Code"
"passed","Thu Dec 25 12:56:49 UTC 2025","Thu Dec 25 12:56:49 UTC 2025","1","invoices.tests","test_models","TestInvoiceDateManager","","","test_get_due_date_none_adds_14_days","Test: None addiert 14 Tage zu issue_date"
"passed","Thu Dec 25 12:59:57 UTC 2025","Thu Dec 25 12:59:57 UTC 2025","1","bewegungsradius.tests","test_admin_styles","TestAdminStylesIntegration","","","test_all_colors_used_in_badges","Test: Alle Farben funktionieren in Badges"
"passed","Thu Dec 25 12:56:12 UTC 2025","Thu Dec 25 12:56:22 UTC 2025","10038","courses.tests","test_services","TestCourseParticipantCounter","","","test_is_full_inperson_false","Test: is_full_inperson() False wenn nicht voll"
